State,Carrier,Plan ID,Plan Name,Network,MA,Type,MOOP,Premium,Medical,Rx,PCP,Specialist,Dental,Vision,Hearing, Transportation ,OTC,Food_Util
TN,HUMANA,H5216-180-000,Humana Value Plus,PPO,MAPD,LIS,"$4,900 ",$31 ,$200 ,$590 ,$0 ,$20 ,"$2,000 ",$250 ,$0 copay,Yes,w/Food Card,$75 
TN,HUMANA,H4461-004-000,Humana USAA Honor Giveback,HMO,MA Only,GIVEBACK,"$3,200 ",$0 ,$0 ,$0 ,$0 ,$25 ,"$2,500 ",$150 ,, No ,$0 ,$0 
TN,HUMANA,H5216-235-000,Humana USAA Honor Giveback,PPO,MA Only,GIVEBACK,"$3,400 ",$0 ,$0 ,$0 ,$0 ,$25 ,"$2,000 ",$150 ,, No ,$0 ,$0 
TN,HUMANA,H4461-038-000,Humana Gold Plus SNP DE,HMO DSNP,MAPD,DSNP,"$9,350 ",$35 ,$0 ,$0 ,CoShare,CoShare,"$2,000 ",$150 ,, No ,$0 ,$150 
TN,UHC,H2001-094-000,AARP MA UHC TN-0002,LPPO,MAPD,MAPD,"$5,900 ",$0 ,$0 ,$255 ,$0 ,$40 ,$0 ,$300 ,99-1249, No ,$25 ,
TN,UHC,H5253-081-000,AARP MA UHC TN 0003,HMO POS,MAPD,MAPD,"$5,400 ",$0 ,$0 ,$340 ,$0 ,$30 ,"$2,500 ",$300 ,99-1249, No ,$30 ,
TN,UHC,H5253-082-000,AARP MA UHC TN 0004,HMO POS,MAPD,LIS,"$3,800 ",$39 ,$0 ,$340 ,$0 ,$25 ,"$4,000 ",$300 ,$99-$1249, No ,$70 ,No
TN,UHC,H5253-193-001,UHC Complete Care  TC 0005,HMO POS,MAPD,CSNP,"$6,700 ",$0 ,$0 ,$255 ,$0 ,$10 ,"$1,000 ",$250 ,99-1249,No,$57 ,w/OTC
TN,UHC,H5253-194-001,UHC Complete Care  TC 006 LIS - NEW,HMO POS,MAPD,CSNP - LIS,"$6,700 ",$40 ,$0 ,$590 ,$0 ,$15 ,"$2,000 ",$300 ,99-1249,Yes,$108 ,w/OTC
TN,UHC,H5253-113-000,AARP Patriot No RX TC-MA01 - Statewide,HMO POS,MA Only,GIVEBACK,"$3,900 ",$0 ,$0 ,$0 ,$0 ,$30 ,"$4,000 ",$300 ,99-1249,Yes,$125 ,No
TN,UHC,H5253-121-000,AARP Giveback UHC TC-4 - Statewide,HMO POS,MAPD,GIVEBACK,"$6,300 ",$0 ,$0 ,$495 ,$0 ,$45 ,$0 ,$300 ,99-1249,No,$0 ,No
TN,UHC,H2001-086-000,AARP Access UHC TN -7,LPPO,MAPD,MEDSUPP,"$3,000 ",$247 ,$0 ,$570 ,$0 ,$0 ,"$1,500 ",$250 ,99-1249,No,$0 ,No
TN,UHC,H0251-002,UHC Dual Complete TN-S001 - DSNP State,HMO POS DSNP,MAPD,DSNP - MCO,$0 ,$0 ,$0 ,$590 ,$0 ,$0 ,"$5,000 ",$600 ,"$3,200 ",Yes,$290 ,w/OTC
TN,UHC,H0251-004,UHC Dual Complete TN-Y001 - DSNP State,HMO POS DSNP,MAPD,DSNP - MCO,$0 ,$0 ,$0 ,$590 ,$0 ,$0 ,"$5,000 ",$600 ,"$3,200 ",Yes,$336 ,w/OTC
TN,WELLCARE,H141-604-2000,Wellcare Assist - LIS,HMO POS,MAPD,LIS,"$4,900 ",$30 ,$0 ,$520 ,$0 ,$15 ,"$5,000 ",$200 ,"$1,500 ",Yes,$200 ,
TN,WELLCARE,H141-607-7000,Wellcare Simple,HMO POS,MAPD,MAPD,"$3,800 ",$0 ,$0 ,$420 ,$0 ,$15 ,"$5,000 ",$300 ,"$1,000 ",No,$141 ,
TN,WELLCARE,H141-607-9000,Wellcare Giveback,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$0 ,
TN,WELLCARE,H141-608-3000,Wellcare Assist - LIS,HMO POS,MAPD,LIS,"$4,900 ",$27 ,$0 ,$590 ,$0 ,$15 ,"$5,000 ",$200 ,"$1,500 ",Yes,$200 ,
TN,WELLCARE,H141-606-1000,Wellcare Patriot Giveback,HMO POS,MA Only,GIVEBACK,"$5,000 ",$0 ,$225 ,$0 ,$0 ,$25 ,"$2,000 ",$300 ,"$1,500 ",No,$0 ,
TN,WELLCARE,H141-603-5000,Wellcare Dual Access,HMO POS DSNP,MAPD,DSNP,"$9,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$300 ,"$1,500 ",Yes,$144 ,w/OTC
TN,WELLPOINT,H5828-008-000,Wellpoint Extra Help - NURSE,HMO POS,MAPD,LIS,"$4,900 ",$9 ,$0 ,$590 ,$0 ,$25 ,"$3,250 ",$250 ,$300-$3000,Yes,$65 ,w/OTC
TN,WELLPOINT,H5828-013-000,Wellpoint Medicare Advantage - NURSE,HMO POS,MAPD,MAPD,"$6,750 ",$0 ,$0 ,$0 ,$0 ,$45 ,"$2,000 ",$200 ,$300-$3000,Yes,$60 ,EE
TN,WELLPOINT,H5828-014-000,Wellpoint Medicare Advantage 2 - NURSE,HMO POS,MAPD,MAPD,"$4,150 ",$0 ,$0 ,$0 ,$0 ,$30 ,"$2,500 ",$250 ,$300-$3000,Yes,$20 ,EE
TN,WELLPOINT,H5828-001-000,Wellpoint Full Dual Advantage Support - Nurse,HMO DSNP,MAPD,DSNP - MCO,"$9,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,000 ",$650 ,$300-$3000,Yes,$310 ,w/OTC
TN,WELLPOINT,H5828-002-000,Wellpoint Full Dual Advantage - Nurse,HMO DSNP,MAPD,DSNP - MCO,"$9,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,500 ",$600 ,$300-$3000,Yes,$175 ,w/OTC
MS,DEVOTED,T143-607-9000,Devoted TT One,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$176 ,w/OTC
MS,HUMANA,T144-607-9000,Humana TT One,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$177 ,w/OTC
MS,WELLPOINT,T145-607-9000,Wellpoint TT One,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$178 ,w/OTC
MS,WELLCARE,T146-606-1000,Wellcare TT One,HMO POS,MA Only,GIVEBACK,"$5,000 ",$0 ,$225 ,$0 ,$0 ,$25 ,"$2,000 ",$300 ,"$1,500 ",No,$179 ,w/OTC
AR,UHC,T147-607-9000,UHC TT One,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$180 ,w/OTC
AR,ZING,T148-607-9000,Zine TT One,HMO POS,MAPD,CSNP,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$181 ,w/OTC
AR,ZING,T141-609-9000,Zing TT Two,HMO POS,MAPD,DSNP,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$182 ,w/OTC
AR,ZING,T100-607-9000,Zing TT Three,HMO POS,MAPD,GIVEBACK,"$6,700 ",$0 ,$170 ,$420 ,$0 ,$50 ,$0 ,$100 ,$500 ,No,$183 ,w/OTC
